Text,Type
"In another case , the male partner in a relationship may be unable to produce viable sperm and , instead of seeking a sperm donor , the couple can choose to use SCNT in order to produce a genetic copy of the prospective father .",Argumentative
In 1992 the assistant attorney general assigned to prosecute the case on appeal resigned after becoming convinced of the defendants ' innocence .,Argumentative
"telephones and email help people, who live far away from other people, to connect each other",Argumentative
"Not only that,",Non-Argumentative
"We are going forward , not backward .",Non-Argumentative
"He might have done it a month before his execution , when all hope for clemency was gone — but he was afraid of death .",Non-Argumentative
Thousands of people braved the rain to join a demonstration in Warsaw 's historic old town .,Non-Argumentative
Raising a child properly is a full-time labor intensive process .,Argumentative
The death penalty makes society more dangerous by further increasing violence through the brutalization effect .,Argumentative
"For instance,",Non-Argumentative
"In addition,",Non-Argumentative
"The inability to make moral distinctions between crimes and their punishments is not something that most would see as a virtue but is , instead , an amoral lack of reason .",Non-Argumentative
mass media deal too much with superficial things,Argumentative
"The tests permit parents who know they are at risk of bearing a defective baby to conceive , assured that if the test results are positive , they can abort and try again for a healthy baby .",Argumentative
"Over the same period , Texas had a population increase of 32 % , up 6,681,991 from 14,169,829 to 20,851,820 .",Non-Argumentative
That's why,Non-Argumentative
it is crucial to learn our children as soon as possible to learn financially issues,Argumentative
"Considering the numerous accounts of death-row inmates being found innocent through the use of DNA evidence , it may be surprising that wrongful conviction is only tied for second as a reason cited by death penalty opponents .",Argumentative
"Therefore,",Non-Argumentative
"I could watch TV for hours, but I could hardly sit in front of my desk to do homework for few minutes",Argumentative
"An excellent example is the execution a few years ago of former gang leader "" Tookie "" Williams .",Non-Argumentative
"More importantly,",Non-Argumentative
"Alfred Dewayne Brown , newly exonerated from Texas death row in June 2015 , speaks at the Texas Capitol .",Non-Argumentative
"The expression ""Never, never give up"" means keep trying and never stop working

Many individuals throughout their life face with at least one failure in different areas such as education, love and economy.",Non-Argumentative
